Palabras Clave,x,y,topics,Freq,colocacion
"""respuesta"" , ""año"" , ""colonia"" , ""distrito"" , ""encuesta"" , ""movimiento"" , ""corrupto"" , ""conocimiento"" , ""semana"" , ""dinero""",-0.144059539014924,-0.0221506137585395,12,5.6140827897096,abogada esquivel
"""candidato"" , ""morena"" , ""barda"" , ""pena"" , ""paso"" , ""claudia"" , ""honor"" , ""mc"" , ""mayoría"" , ""fentanilo""",-0.133516535409648,0.0978738962818066,5,6.30627675374482,carmelita casillas
"""medicina"" , ""transformación"" , ""mano"" , ""candidata"" , ""comunidad"" , ""mensaje"" , ""recurso"" , ""gobierno"" , ""equipo"" , ""honestidad""",0.0523052560603333,-0.11793836150969,11,5.62302160585953,cesar duarte
"""narco"" , ""elección"" , ""saludo"" , ""amigo"" , ""lemus"" , ""compromiso"" , ""amor"" , ""trabajo"" , ""nombre"" , ""perseverancia""",-0.0389733037485772,-0.0934832541440333,6,6.12116895324389,comas ancias
"""hombre"" , ""fuerza"" , ""equipo"" , ""palabra"" , ""agua"" , ""amlo"" , ""cariño"" , ""asco"" , ""morena"" , ""regidor""",0.0520502430335613,0.0581048655888738,10,5.75327075442458,comentarista noticioso
"""morena"" , ""corrupto"" , ""negocio"" , ""lugar"" , ""bola"" , ""jalisciens"" , ""par"" , ""momento"" , ""dato"" , ""comunidad""",-0.204149989560853,0.00763752141786427,7,5.90216257738409,desafortunado silencio
"""lugar"" , ""favor"" , ""pendejo"" , ""empresa"" , ""rata"" , ""victoria"" , ""tiempo"" , ""foto"" , ""dinero"" , ""suerte""",-0.0532735650562562,-0.0320435666715495,16,4.69488442377442,fenta recibiendo
"""voto"" , ""dio"" , ""político"" , ""defensa"" , ""problema"" , ""vida"" , ""política"" , ""comités"" , ""sector"" , ""favor""",0.041062513651006,0.0940646495656388,13,5.5013209069878,frangie artos
"""gente"" , ""tiempo"" , ""mc"" , ""varón"" , ""cama"" , ""pie"" , ""regidor"" , ""campaña"" , ""propósito"" , ""cita""",0.0600743905492317,-0.162630992632253,2,7.02921133481301,fuerzas reales
"""persona"" , ""candidato"" , ""seguro"" , ""evento"" , ""comentario"" , ""tradición"" , ""medicamento"" , ""morena"" , ""partido"" , ""aspirante""",0.0098443824931634,0.0104704861635442,9,5.78674027169219,httpurologocarlosguerracom menshealth
"""cosa"" , ""época"" , ""municipio"" , ""morena"" , ""pobre"" , ""unidad"" , ""éxito"" , ""triunfo"" , ""gente"" , ""red""",-0.029291793928779,-0.120338943351945,8,5.89744305296794,jarocha pendejø
"""mujer"" , ""pueblo"" , ""madre"" , ""julio"" , ""ciudadano"" , ""género"" , ""administración"" , ""trabajo"" , ""presidente"" , ""ciudad""",0.1647956863669,0.111887024270784,1,8.17925640398261,memes hiram
"""campaña"" , ""presidente"" , ""traidor"" , ""democracia"" , ""persona"" , ""julio"" , ""hora"" , ""morena"" , ""pueblo"" , ""cambio""",0.0481221546593867,0.0442181057580737,15,4.93146026318389,paradala bandera
"""pueblo"" , ""partido"" , ""liderazgo"" , ""gente"" , ""barrio"" , ""neta"" , ""zapato"" , ""puntero"" , ""amigo"" , ""honestidad""",0.101739008084478,-0.0517370763603516,17,4.62578368955666,pende equivocado
"""dinero"" , ""cárdena"" , ""felicidad"" , ""comentario"" , ""presidenta"" , ""fuerza"" , ""mujer"" , ""carlito"" , ""tiempo"" , ""vida""",0.0628144735475026,0.149963838999371,3,6.51495602436641,power ranking
"""cambio"" , ""ruta"" , ""morena"" , ""duda"" , ""candidatura"" , ""movimiento"" , ""regidor"" , ""base"" , ""encuesta"" , ""interior""",-0.10972679104662,0.0711159683687391,4,6.48182619994517,prestigio cucharero
"""opción"" , ""transformación"" , ""líder"" , ""ánimo"" , ""puebla"" , ""dignidad"" , ""gracia"" , ""médico"" , ""imagen"" , ""dedazo""",0.120183409320095,-0.045013547986334,14,5.0371339943634,quieran pretendan
