,No. Topico,Palabras Clave
0,0,"['gente', 'confianza', 'sueño', 'movimiento', 'amistad', 'corazón', 'cariño', 'desafío', 'motor', 'compromiso']"
1,1,"['simulacro', 'septiembre', 'caso', 'seguridad', 'jalisco', 'medida', 'precaución', 'cuidarno', 'minuto', 'protección']"
2,2,"['persona', 'palabra', 'deber', 'lucha', 'revisión', 'mama', 'salud', 'cáncer', 'admiro', 'valentía']"
3,3,"['equipo', 'coordinadora', 'columna', 'sheinbaum', 'dra', 'comités', 'defensa', 'occidental', 'transformación', 'foto']"
4,4,"['compromiso', 'jalisco', 'vida', 'persona', 'defensa', 'amigo', 'gente', 'transformación', 'camino', 'momento']"
5,5,"['jalisco', 'confianza', 'hija', 'persona', 'avaricia', 'discapacidad', 'historia', 'ceamivida', 'motor', 'amistad']"
6,6,"['jalisco', 'mano', 'pueblo', 'claudia', 'lucha', 'corazón', 'libro', 'capacidad', 'acto', 'merec']"
7,7,"['prensa', 'octubre', 'gobierno', 'atención', 'espacio', 'conferencia', 'vida', 'esper', 'duda', 'hija']"
8,8,"['transformación', 'camino', 'año', 'honestidad', 'libro', '2017', 'presidente', 'misión', 'proyecto', 'nación']"
9,9,"['apoyo', 'acapulco', 'informe', 'persona', 'momento', 'lucha', 'jalisco', 'compañera', 'valentía', 'esfuerzo']"
10,10,"['jalisco', 'transformación', 'realidad', 'apoyo', 'sueño', 'año', 'méxico', 'mano', 'gente', 'bienestar']"
11,11,"['transformación', 'gobierno', 'jalisco', 'principio', 'gente', 'morena', 'administración', 'cariño', 'informe', 'inicio']"
