likes,coments,alcance
81,2,1554
57,0,595
44,0,653
113,5,1748
49,2,1436
48,0,815
66,1,576
62,0,615
129,5,3073
51,1,1858
72,1,1889
3353,52,"80,4 mil"
64,2,2591
44,0,1239
247,9,3491
79,2,2457
124,4,3122
121,5,2838
25,1,962
64,3,971
74,1,2006
130,6,2846
131,3,1874
203,12,3295
94,2,982
37,1,524
683,22,"40,7 mil"
471,8,7343
186,8,2909
72,0,910
124,7,2382
5225,40,"40,3 mil"
128,6,3083
150,8,4039
251,17,1931
103,2,2927
113,1,3048
146,6,4312
59,0,1926
45,1,1984
187,8,3493
112,2,3396
47,0,1793
47,1,1030
79,3,1028
50,1,775
85,3,1168
99,4,842
28,1,618
47,0,687
727,21,8551
25,0,890
145,8,2825
181,8,2949
72,3,2460
77,1,988
83,1,3021
113,6,2688
103,4,2720
79,1,2331
69,0,1699
106,6,2535
64,2,2287
122,5,2682
59,2,814
48,4,1279
124,5,1519
58,3,592
107,2,2394
47,1,1257
131,5,2192
52,0,660
123,5,1576
39,2,1334
105,2,1533
94,7,1722
58,2,1290
110,6,1764
238,14,4913
8551,25,"75,6 mil"
1900,86,"16,4 mil"
38,0,1471
87,1,2249
147,1,2933
39,1,3723
89,5,2256
34,1,1672
104,6,1621
