,comentarios,repost,likes,views
0,7,8.0,25.0,548.0
1,2,3.0,21.0,375.0
2,4,31.0,20.0,378.0
3,20,18.0,68.0,1000.0
4,17,13.0,67.0,2000.0
5,84,33.0,113.0,6000.0
6,9,13.0,50.0,1000.0
7,15,11.0,74.0,3000.0
8,5,4.0,38.0,777.0
9,37,17.0,80.0,3000.0
10,10,41.0,45.0,1000.0
11,1,3.0,44.0,561.0
12,33,16.0,74.0,1000.0
13,2,29.0,54.0,419.0
14,4,7.0,53.0,934.0
15,2,31.0,51.0,481.0
16,3,5.0,56.0,1000.0
17,6,8.0,57.0,1000.0
18,11,20.0,71.0,2000.0
19,4,6.0,39.0,787.0
20,6,10.0,56.0,1000.0
21,19,21.0,91.0,2000.0
22,12,19.0,74.0,1000.0
23,13,6.0,42.0,1000.0
24,2,3.0,37.0,633.0
25,8,10.0,51.0,1000.0
26,1,5.0,36.0,1000.0
27,19,17.0,85.0,4000.0
28,1,33.0,60.0,423.0
29,14,16.0,65.0,2000.0
30,4,5.0,44.0,819.0
31,3,5.0,42.0,1000.0
32,10,3.0,56.0,1000.0
33,116,25.0,109.0,17000.0
34,5,6.0,58.0,1000.0
35,2,2.0,37.0,742.0
36,10,7.0,71.0,1000.0
37,6,4.0,46.0,1000.0
38,42,30.0,113.0,12000.0
39,11,3.0,66.0,3000.0
40,5,2.0,29.0,1000.0
41,3,6.0,47.0,1000.0
42,8,8.0,48.0,2000.0
43,2,26.0,40.0,620.0
44,2,27.0,60.0,805.0
45,1,23.0,84.0,1000.0
46,77,28.0,108.0,7000.0
47,1,3.0,20.0,1000.0
48,2,4.0,33.0,641.0
49,13,10.0,45.0,1000.0
50,4,8.0,26.0,1000.0
51,13,0.0,0.0,451.0
52,4,1.0,33.0,907.0
53,24,12.0,59.0,2000.0
54,2,5.0,27.0,595.0
55,3,4.0,30.0,1000.0
56,4,5.0,29.0,499.0
57,2,31.0,25.0,869.0
58,6,33.0,0.0,873.0
59,2,1.0,28.0,471.0
60,46,12.0,63.0,7000.0
61,9,8.0,40.0,1000.0
62,1,31.0,45.0,442.0
63,44,17.0,66.0,3000.0
64,2,33.0,58.0,598.0
65,5,11.0,54.0,2000.0
66,19,19.0,103.0,4000.0
67,6,4.0,38.0,840.0
68,2,7.0,41.0,815.0
69,11,4.0,39.0,1000.0
70,7,33.0,48.0,683.0
71,19,19.0,103.0,4000.0
72,5,8.0,38.0,848.0
73,128,72.0,258.0,29000.0
74,10,6.0,47.0,1000.0
75,2,28.0,54.0,618.0
76,1,2.0,24.0,628.0
77,6,8.0,53.0,1000.0
78,3,1.0,29.0,575.0
79,1,1.0,31.0,741.0
80,1,32.0,41.0,533.0
81,1,10.0,54.0,928.0
82,2,7.0,37.0,747.0
83,5,6.0,34.0,475.0
84,27,15.0,71.0,2149.0
85,7,12.0,58.0,640.0
86,1,3.0,37.0,498.0
87,4,13.0,67.0,0.0
88,0,2.0,27.0,372.0
89,14,19.0,76.0,2678.0
90,0,1.0,30.0,379.0
91,1,2.0,40.0,620.0
92,1,4.0,41.0,693.0
93,1,3.0,13.0,633.0
94,21,16.0,75.0,3000.0
95,7,16.0,75.0,1000.0
96,3,9.0,56.0,1000.0
97,1,1.0,31.0,463.0
98,4,15.0,75.0,1000.0
99,40,45.0,180.0,7000.0
100,14,7.0,54.0,2000.0
101,3,6.0,44.0,1069.0
102,4,4.0,37.0,997.0
103,21,17.0,106.0,5119.0
104,21,6.0,57.0,2000.0
105,31,19.0,89.0,3000.0
106,5,9.0,65.0,2057.0
107,59,23.0,107.0,24100.0
108,4,8.0,34.0,1000.0
109,6,7.0,39.0,1636.0
110,23,21.0,68.0,5187.0
111,15,12.0,54.0,1000.0
112,16,8.0,67.0,1676.0
113,31,16.0,51.0,1000.0
114,11,8.0,52.0,2000.0
115,3,0.0,27.0,612.0
116,145,101.0,211.0,16000.0
117,2,2.0,37.0,603.0
118,6,8.0,48.0,1000.0
119,2,1.0,28.0,402.0
120,0,0.0,28.0,350.0
